"","koi_disposition","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"7953","FALSE POSITIVE",4.88446644,6.256e-05,-6.256e-05,135.24744,0.00844,-0.00844,0.776,0.056,-0.541,2.057,0.29,-0.29,221,32,-32,0.84,0.05,-0.07,579,26.5,5.25,-6.28,9.1,3883,70,-85,4.725,0.049,-0.025,0.517,0.029,-0.045,287.85773,48.774109,15.84
"7954","CONFIRMED",3.03359398,3.558e-05,-3.558e-05,133.08355,0.00781,-0.00781,0.023,0.433,-0.022,4.026,0.224,-0.224,95.6,8.8,-8.8,1.55,0.25,-0.39,1529,1294.06,544.64,-613.37,12.3,5557,83,-72,4.037,0.21,-0.09,1.616,0.254,-0.413,297.79691,39.921371,14.943
"7956","FALSE POSITIVE",9.3888216,0.0001653,-0.0001653,134.42144,0.00999,-0.00999,1.14,72.63,-0.754,4.154,0.818,-0.818,192.7,30.6,-30.6,20.91,3.59,-3.27,963,202.91,91.07,-66.17,9.6,5846,79,-79,4.278,0.132,-0.108,1.24,0.213,-0.194,295.8287,43.425491,14.915
"7970","FALSE POSITIVE",2.6528082,3.433e-05,-3.433e-05,131.5439,0.0134,-0.0134,0.434,0.029,-0.434,2.297,0.392,-0.392,153.1,19.4,-19.4,1.17,0.35,-0.13,1280,633.57,556.45,-206.56,9.8,5778,173,-208,4.48,0.065,-0.195,0.935,0.273,-0.109,294.28778,40.692741,15.668
"7986","FALSE POSITIVE",6.29340543,9.826e-05,-9.826e-05,133.8686,0.0129,-0.0129,0.431,0.032,-0.431,3.024,0.413,-0.413,96.4,13.9,-13.9,1.08,0.38,-0.11,1072,312.61,327.36,-91.29,8.7,6214,167,-223,4.442,0.056,-0.224,1.076,0.384,-0.102,287.94165,44.008018,15.186
"7988","FALSE POSITIVE",0.78430061,3.937e-05,-3.937e-05,132.23164,0.00773,-0.00773,0.659,0.024,-0.542,2.952,0.242,-0.242,254.7,16.7,-16.7,1.14,0.14,-0.11,1566,1416.91,577.85,-392.84,20.5,5176,154,-154,4.589,0.077,-0.063,0.681,0.081,-0.066,291.93063,45.22002,15.156
"7991","FALSE POSITIVE",2.52557582,2.836e-05,-2.836e-05,133.06586,0.00851,-0.00851,0.372,0.084,-0.372,2.32,0.276,-0.276,35.4,4.1,-4.1,0.62,0.1,-0.04,1364,818.81,343.7,-145.7,10.7,5821,78,-78,4.421,0.054,-0.117,1.036,0.166,-0.071,293.96545,45.273571,13.564
"7999","FALSE POSITIVE",1.284241817,6.544e-06,-6.544e-06,132.65223,0.00447,-0.00447,0.029,0.426,-0.029,1.965,0.127,-0.127,166.5,15.3,-15.3,1.18,0.34,-0.11,1623,1643.57,1363.9,-464.82,13.3,5849,157,-192,4.517,0.046,-0.184,0.919,0.26,-0.087,298.17337,48.173611,15.674
"8001","FALSE POSITIVE",8.7396758,0.0003092,-0.0003092,136.5829,0.0463,-0.0463,0.957,0.001,-0.68,3.866,0.266,-0.266,1431,107,-107,3.29,0.26,-0.3,577,26.17,8.92,-7.62,15.6,4406,154,-170,4.643,0.044,-0.032,0.628,0.051,-0.056,282.37042,48.259289,16.324
"8010","CONFIRMED",3.17796408,1.868e-05,-1.868e-05,134.35285,0.00473,-0.00473,0.901,0.007,-0.693,0.542,0.142,-0.142,47.7,8.6,-8.6,0.74,0.04,-0.05,1034,270.25,44.83,-54.23,6,5061,83,-76,4.488,0.088,-0.028,0.841,0.038,-0.066,297.63519,41.641869,12.218
"8011","FALSE POSITIVE",3.05293416,2.809e-05,-2.809e-05,132.96692,0.00688,-0.00688,0.328,0.138,-0.328,2.155,0.232,-0.232,227.5,27.3,-27.3,1.18,0.2,-0.1,1047,284.82,157.17,-73.08,10.1,5311,175,-159,4.588,0.03,-0.112,0.788,0.132,-0.066,287.53503,49.801659,15.901
"8012","FALSE POSITIVE",36.2530992,0.0009613,-0.0009613,142.0377,0.0247,-0.0247,0.721,0,-0.544,4.73,1.4,-1.4,152.1,35.7,-35.7,1.43,0.23,-0.08,582,27.17,11.03,-4.38,8.3,6002,71,-89,4.424,0.032,-0.12,1.081,0.171,-0.061,296.70724,41.203651,14.71
"8013","FALSE POSITIVE",7.5017934,0.0001461,-0.0001461,138.8271,0.0195,-0.0195,0.286,0.173,-0.286,4.271,0.337,-0.337,134.8,15.3,-15.3,1.32,0.43,-0.15,1046,283.25,274.34,-93.43,9.8,6321,174,-261,4.417,0.056,-0.224,1.125,0.37,-0.123,293.12738,42.320099,15.438
"8014","FALSE POSITIVE",0.912351255,5.861e-06,-5.861e-06,131.59612,0.00568,-0.00568,0.956,0.024,-0.709,1.072,0.168,-0.168,111.8,16.9,-16.9,1.46,0.19,-0.18,1840,2705.58,981.43,-719.86,9.1,5481,82,-74,4.369,0.121,-0.099,1.036,0.138,-0.124,291.55051,50.825611,15.114
"8015","FALSE POSITIVE",12.4701111,0.0001809,-0.0001809,143.7236,0.0139,-0.0139,0.569,0.402,-0.374,3.616,0.465,-0.465,89.7,13.4,-13.4,2.06,0.31,-0.61,1074,313.87,128.52,-166.14,9.3,5623,93,-67,3.877,0.233,-0.078,2.109,0.314,-0.627,292.52939,38.489079,14.024
"8051","FALSE POSITIVE",7.918267,0.0001842,-0.0001842,134.1991,0.0205,-0.0205,0.219,0.25,-0.219,3.478,0.687,-0.687,83.7,12.4,-12.4,0.93,0.28,-0.12,953,195.36,173.55,-66.7,8.4,5966,179,-214,4.418,0.087,-0.203,1.016,0.3,-0.129,293.20148,45.354691,14.758
"8055","FALSE POSITIVE",10.2170589,0.0002154,-0.0002154,139.1299,0.0187,-0.0187,0.132,0.326,-0.132,2.259,0.659,-0.659,121.3,17.7,-17.7,1.17,0.33,-0.18,929,176.34,149.09,-67.62,7.9,6211,169,-225,4.384,0.108,-0.201,1.054,0.303,-0.163,298.54852,46.756641,14.455
"8067","FALSE POSITIVE",3.14735789,5.341e-05,-5.341e-05,133.3871,0.0149,-0.0149,0.03,0.42,-0.03,3.643,0.318,-0.318,51.8,6.6,-6.6,3.45,0.45,-1.32,2209,5635.4,1938.49,-3688.93,9.3,5189,72,-124,3.352,0.262,-0.087,4.93,0.63,-1.889,289.82199,51.063492,14.386
"8070","CONFIRMED",2.61090223,2.113e-05,-2.113e-05,133.25501,0.00768,-0.00768,0.813,0.01,-0.578,1.976,0.201,-0.201,222.5,24.8,-24.8,1.8,0.27,-0.25,1323,724.16,289.86,-214.61,10.7,5514,74,-74,4.345,0.132,-0.108,1.071,0.163,-0.148,299.16953,43.44109,15.829
"8071","FALSE POSITIVE",17.6637979,0.0006405,-0.0006405,144.239,0.0243,-0.0243,0.695,0.289,-0.459,6.194,0.912,-0.912,67.9,8.4,-8.4,2.98,0.55,-1.01,1178,455.65,225.98,-267.11,9.7,5734,95,-69,3.591,0.292,-0.097,3.405,0.625,-1.161,293.57394,45.384541,14.074
"8080","FALSE POSITIVE",8.1770751,0.0001308,-0.0001308,136.8217,0.0115,-0.0115,0.456,0.498,-0.256,4.608,0.352,-0.352,44.3,4.7,-4.7,0.83,0.22,-0.15,1115,365.09,278.5,-145.41,10.6,6501,147,-180,4.281,0.149,-0.182,1.209,0.326,-0.217,292.10071,38.61499,12.419
"8085","CONFIRMED",4.84505985,3.19e-05,-3.19e-05,134.94868,0.00546,-0.00546,0.903,0.071,-0.671,2.078,0.182,-0.182,298.4,33.8,-33.8,1.54,0.03,-0.09,723,64.57,7.45,-11.62,10.7,4337,77,-86,4.581,0.045,-0.009,0.714,0.014,-0.041,295.79138,40.01236,13.731
"8088","FALSE POSITIVE",623.70774,0.01157,-0.01157,303.3588,0.0125,-0.0125,0.003,0.456,-0.003,6.688,0.488,-0.488,250.9,27.7,-27.7,1.81,0.48,-0.26,258,1.05,0.8,-0.37,10.2,6626,158,-217,4.347,0.112,-0.182,1.132,0.298,-0.161,294.95258,44.207909,13.379
"8099","FALSE POSITIVE",1.28940823,1.768e-05,-1.768e-05,132.0764,0.0117,-0.0117,0.628,0.34,-0.404,3.652,0.455,-0.455,32.1,3.6,-3.6,2.48,0.45,-0.82,3112,22119.66,10309.76,-12840.79,10.3,5826,78,-87,3.465,0.252,-0.108,4.189,0.75,-1.393,283.77316,42.070862,13.897
"8107","FALSE POSITIVE",13.8086331,0.0002389,-0.0002389,141.604,0.0165,-0.0165,0.029,0.426,-0.029,3.613,0.428,-0.428,207.1,27,-27,1.09,0.19,-0.11,659,44.5,25.22,-12.38,9,5515,165,-165,4.568,0.056,-0.112,0.761,0.137,-0.074,289.62292,44.104431,15.567
"8113","FALSE POSITIVE",2.243569483,2.49e-07,-2.49e-07,133.7306188,9.15e-05,-9.15e-05,0.381,0.029,-0.009,4.14769,0.00502,-0.00502,66328,75.1,-75.1,21.11,4.48,-2.24,1364,817.05,533.08,-238.53,1107.7,6081,181,-181,4.526,0.081,-0.15,0.801,0.17,-0.085,295.18893,45.40617,14.965
"8114","FALSE POSITIVE",82.78482,0.003723,-0.003723,141.3871,0.0278,-0.0278,0.682,0.285,-0.474,7.52,1.1,-1.1,190.4,27.4,-27.4,2.16,0.36,-0.47,501,14.88,6.46,-6.31,8.4,5749,78,-78,4.123,0.182,-0.098,1.48,0.245,-0.326,295.55292,45.473431,14.909
"8116","CONFIRMED",2.4376438,1.8e-05,-1.8e-05,132.1228,0.0067,-0.0067,0.112,0.335,-0.112,1.587,0.164,-0.164,27.1,3.7,-3.7,0.79,0.14,-0.16,1686,1909.13,858.44,-781.22,8.8,5927,79,-79,4.117,0.182,-0.098,1.53,0.264,-0.322,287.76895,46.83194,12.66
"8117","FALSE POSITIVE",0.721522907,4.3e-08,-4.3e-08,131.7091421,5.02e-05,-5.02e-05,0.831,0.055,-0.017,1.4521,0.0076,-0.0076,22528,18.4,-18.4,11.04,0.97,-0.88,1475,1115.99,369.92,-279.21,815.3,4893,146,-146,4.634,0.06,-0.035,0.625,0.055,-0.05,288.49091,46.804989,15.069
"8127","FALSE POSITIVE",4.15736472,3.936e-05,-3.936e-05,132.85855,0.00905,-0.00905,0.226,0.238,-0.226,2.217,0.207,-0.207,200.7,21.4,-21.4,1.09,0.14,-0.1,931,178.03,75.44,-47.95,11.2,5183,154,-154,4.558,0.045,-0.078,0.782,0.098,-0.072,286.40033,48.521961,15.517
"8134","FALSE POSITIVE",2.012094,1.945e-05,-1.945e-05,131.5688,0.00726,-0.00726,0.066,0.381,-0.066,2.157,0.257,-0.257,74.8,9.5,-9.5,0.99,0.16,-0.15,1523,1274.27,516.29,-410.58,9.1,5633,76,-76,4.296,0.15,-0.113,1.162,0.179,-0.179,298.40137,44.838181,14.927
"8136","FALSE POSITIVE",9.4767057,0.0001668,-0.0001668,134.7294,0.0159,-0.0159,0.003,0.442,-0.003,3.893,0.413,-0.413,230.5,29.7,-29.7,1.38,0.43,-0.14,841,118.13,109.1,-34.99,8.6,5911,177,-195,4.519,0.048,-0.204,0.914,0.281,-0.094,292.25464,37.97142,15.761
"8137","FALSE POSITIVE",208.54335,0.0166,-0.0166,230.9934,0.0374,-0.0374,0.001,0.446,-0.001,9.851,0.611,-0.611,614.6,60.5,-60.5,2.84,0.42,-0.52,321,2.52,1.01,-0.92,10.4,5533,83,-74,4.275,0.168,-0.112,1.166,0.174,-0.212,289.66489,50.020039,15.254
"8139","FALSE POSITIVE",7.64370363,6.183e-05,-6.183e-05,137.87526,0.00765,-0.00765,0.785,0.178,-0.572,2.738,0.182,-0.182,70.9,5.9,-5.9,1.85,0.43,-0.74,1334,748.7,542.73,-515.8,13.2,6120,195,-217,3.934,0.398,-0.133,2,0.467,-0.801,300.31619,45.49538,13.266
"8144","FALSE POSITIVE",5.11683678,7.95e-05,-7.95e-05,133.9134,0.0131,-0.0131,0.286,0.16,-0.286,3.119,0.399,-0.399,161.4,20.8,-20.8,1.16,0.36,-0.12,1039,275.15,257.67,-82.77,9.2,5955,188,-208,4.52,0.05,-0.212,0.91,0.28,-0.093,295.73334,38.792011,15.221
"8151","FALSE POSITIVE",17.9925973,0.0001725,-0.0001725,135.4545,0.00781,-0.00781,0.678,0.3,-0.463,2.762,0.289,-0.289,198.5,26.8,-26.8,1.62,0.46,-0.3,748,73.97,60.58,-30.56,8.7,5931,160,-178,4.351,0.148,-0.181,1.087,0.303,-0.202,283.13373,40.852421,14.604
"8158","FALSE POSITIVE",19.164111,0.0002577,-0.0002577,139.8244,0.013,-0.013,0.805,0.159,-0.584,2.773,0.451,-0.451,215.9,35,-35,1.11,0.14,-0.09,519,17.12,7.51,-4.05,8.1,5103,153,-138,4.65,0.033,-0.077,0.674,0.088,-0.052,291.09485,42.002918,15.455
"8169","FALSE POSITIVE",2.41194057,1.839e-05,-1.839e-05,133.01849,0.0078,-0.0078,0.579,0.39,-0.377,1.787,0.291,-0.291,67.3,8.1,-8.1,1.35,0.21,-0.33,1654,1771.98,729.6,-826.8,10.6,5598,83,-75,4.045,0.203,-0.087,1.594,0.245,-0.398,298.88669,44.11586,14.106
"8171","FALSE POSITIVE",0.800263219,2.206e-06,-2.206e-06,132.06684,0.00238,-0.00238,0.16,0.314,-0.16,0.729,0.102,-0.102,170.5,16.4,-16.4,0.77,0.06,-0.08,1240,561.84,162.76,-167.25,13.2,4336,118,-144,4.656,0.059,-0.027,0.59,0.045,-0.061,284.77267,44.249371,15.695
"8181","FALSE POSITIVE",19.2532128,0.0002487,-0.0002487,144.8407,0.0118,-0.0118,0.247,0.208,-0.247,1.674,0.404,-0.404,219.3,39.6,-39.6,1.42,0.42,-0.14,692,54.13,46.08,-15.44,7.4,6060,162,-198,4.495,0.05,-0.2,0.953,0.277,-0.092,287.46475,46.96841,15.362
"8185","FALSE POSITIVE",1.817079849,7.316e-06,-7.316e-06,131.90509,0.00324,-0.00324,0.276,0.189,-0.276,0.889,0.136,-0.136,204.6,25.2,-25.2,1.39,0.45,-0.14,1454,1056.39,1001.1,-324.25,10.8,5808,162,-223,4.503,0.039,-0.221,0.963,0.309,-0.096,282.55869,48.63097,15.591
"8198","CONFIRMED",8.19619768,6.326e-05,-6.326e-05,135.10435,0.00651,-0.00651,0.781,0.186,-0.546,2.109,0.245,-0.245,197.4,25.4,-25.4,1.55,0.17,-0.21,851,123.81,38.44,-36.69,9.3,5323,79,-79,4.378,0.126,-0.084,0.995,0.111,-0.135,286.05243,39.09605,15.188
"8200","FALSE POSITIVE",10.0714369,0.0001678,-0.0001678,140.0456,0.0162,-0.0162,0.006,0.46,-0.006,6.891,0.488,-0.488,49.5,5.4,-5.4,1.98,0.56,-1.31,1362,814.46,715.33,-731.1,10.8,5768,192,-157,3.633,0.816,-0.192,2.81,0.797,-1.86,287.22351,38.817612,13.472
"8222","FALSE POSITIVE",8.9429645,0.0001293,-0.0001293,137.26373,0.00908,-0.00908,0.088,0.505,-0.088,1.803,0.699,-0.699,233.5,72.5,-72.5,0.89,0.06,-0.1,536,19.51,5.73,-5.93,7.2,4183,125,-138,4.655,0.056,-0.024,0.594,0.043,-0.064,284.27499,42.123779,15.537
"8223","FALSE POSITIVE",2.405625303,5.222e-06,-5.222e-06,133.14221,0.00185,-0.00185,0.467,0.488,-0.137,0.6283,0.0636,-0.0636,163.5,15.5,-15.5,1.11,0.23,-0.09,1180,459.66,287.94,-111.12,12,5450,146,-163,4.573,0.027,-0.153,0.83,0.174,-0.062,292.72079,43.076809,14.709
"8226","FALSE POSITIVE",0.7735301,2.751e-05,-2.751e-05,132.1961,0.0438,-0.0438,0.336,0.133,-0.336,1.335,0.125,-0.125,185.4,16.5,-16.5,1.87,0.59,-0.44,2474,8868.22,8299.29,-4457.93,14.2,6296,177,-243,4.217,0.185,-0.185,1.35,0.427,-0.32,296.28384,43.033981,14.752
"8234","FALSE POSITIVE",0.839907158,4.905e-06,-4.905e-06,131.69426,0.00428,-0.00428,0.23,0.239,-0.23,1.019,0.187,-0.187,119.6,17.4,-17.4,0.92,0.12,-0.11,1640,1705.12,740.7,-541.61,10.7,5120,170,-154,4.478,0.099,-0.11,0.853,0.104,-0.104,284.12521,45.628052,15.695
"8237","FALSE POSITIVE",1.7613778,0.0001424,-0.0001424,132.989,0.114,-0.114,0.159,0.29,-0.159,1.355,0.182,-0.182,359.3,45.3,-45.3,2.32,0.79,-0.32,1824,2621.69,2632.67,-949.69,10.5,6544,181,-250,4.349,0.072,-0.217,1.207,0.411,-0.165,293.17194,45.677391,15.02
"8244","FALSE POSITIVE",1.260575815,1.17e-07,-1.17e-07,132.0569049,7.7e-05,-7.7e-05,0.58,0.016,-0.005,2.36064,0.00286,-0.00286,154280,291,-291,29.91,3.77,-2.72,1410,935.7,397.68,-241.81,781.2,5388,160,-144,4.576,0.07,-0.07,0.715,0.09,-0.065,290.01401,48.701832,14.864
"8245","FALSE POSITIVE",1.88912273,2.536e-05,-2.536e-05,132.953,0.0142,-0.0142,0.477,0.002,-0.467,4.219,0.363,-0.363,60.2,5.2,-5.2,0.59,0.1,-0.05,1248,573.44,296.23,-151.02,15.5,5413,160,-144,4.578,0.045,-0.097,0.754,0.122,-0.071,291.61365,48.749451,14.606
"8247","FALSE POSITIVE",14.1573717,0.0002273,-0.0002273,135.5991,0.0132,-0.0132,0.138,0.311,-0.138,3.786,0.33,-0.33,130,16,-16,1.1,0.35,-0.11,778,86.67,81.39,-25.85,9.3,6122,182,-200,4.487,0.054,-0.216,0.964,0.302,-0.101,292.31601,42.626251,14.718
"8250","FALSE POSITIVE",6.31915999,5.498e-05,-5.498e-05,134.14866,0.00694,-0.00694,0.575,0.412,-0.361,3.465,0.235,-0.235,34.4,3.8,-3.8,1.04,0.21,-0.32,1369,829.72,513.88,-482.74,9.8,6254,174,-212,4.019,0.266,-0.114,1.706,0.349,-0.524,298.20261,44.925831,13.096
"8251","FALSE POSITIVE",2.58393841,2.379e-05,-2.379e-05,131.80729,0.00766,-0.00766,0.229,0.223,-0.229,2.169,0.295,-0.295,49.4,7.3,-7.3,0.77,0.25,-0.1,1470,1103.3,1036.91,-393.79,8.5,6164,165,-220,4.378,0.09,-0.21,1.09,0.35,-0.15,288.46909,46.78368,13.874
"8253","FALSE POSITIVE",6.5595368,0.0001168,-0.0001168,132.0079,0.0175,-0.0175,0.378,0.095,-0.378,4.324,0.684,-0.684,26.3,3,-3,0.62,0.12,-0.08,1079,320.09,160.41,-91.72,10.1,5950,71,-83,4.323,0.096,-0.144,1.196,0.235,-0.157,294.12488,46.67289,12.788
"8273","CONFIRMED",4.02018903,3.259e-05,-3.259e-05,134.84387,0.00744,-0.00744,0.505,0.455,-0.304,3.616,0.182,-0.182,18.5,1.4,-1.4,0.6,0.11,-0.11,1337,754.66,360.31,-294.9,14.4,5788,115,-115,4.178,0.176,-0.095,1.376,0.232,-0.258,288.39529,39.872627,11.158
"8277","CONFIRMED",4.98792404,3.257e-05,-3.257e-05,133.6552,0.0061,-0.0061,0.069,0.382,-0.069,1.618,0.156,-0.156,346.2,39.5,-39.5,0.73,0.06,-0.08,485,13.07,3.5,-3.55,9.7,3606,57,-72,4.859,0.045,-0.036,0.395,0.036,-0.044,293.2811,38.082241,15.555
"8309","FALSE POSITIVE",7.2274321,0.0001478,-0.0001478,134.4726,0.0177,-0.0177,0.003,0.439,-0.003,4.967,0.41,-0.41,173.3,20.8,-20.8,1.28,0.39,-0.14,967,206.77,188.74,-62.3,9.2,6075,168,-210,4.486,0.052,-0.208,0.969,0.3,-0.1,285.72079,40.85696,15.832
"8321","CONFIRMED",366.088938,0.004884,-0.004884,165.426,0.0107,-0.0107,0.89,0.04,-0.619,11.887,0.231,-0.231,537.9,20.6,-20.6,2.57,0.78,-0.31,257,1.03,0.94,-0.34,29,5941,187,-208,4.464,0.07,-0.196,0.945,0.286,-0.114,291.35892,43.93681,11.616
"8323","CONFIRMED",5.43103616,4.629e-05,-4.629e-05,134.41711,0.00648,-0.00648,0.816,0.157,-0.576,2.469,0.179,-0.179,66.8,6.7,-6.7,0.66,0.07,-0.07,873,137.1,54.14,-37.76,10.8,5374,160,-144,4.555,0.088,-0.064,0.721,0.082,-0.073,288.83136,47.551991,13.851
"8338","FALSE POSITIVE",0.824851807,8e-08,-8e-08,131.6271509,7.88e-05,-7.88e-05,1.185,0.094,-0.063,1.93637,0.00219,-0.00219,30099,17.5,-17.5,78,35.89,-47.86,2539,9801.46,13656.36,-8487.61,642.2,5658,166,-150,3.903,0.712,-0.237,1.654,0.761,-1.015,300.99487,45.078861,12.372
"8341","FALSE POSITIVE",14.461834,0.0003602,-0.0003602,137.2566,0.0222,-0.0222,0.065,0.403,-0.065,7.156,0.626,-0.626,80.2,11.2,-11.2,1.05,0.18,-0.21,785,89.86,39.81,-35.48,9,5457,81,-65,4.239,0.186,-0.124,1.196,0.199,-0.243,294.29364,46.629501,14.75
"8348","FALSE POSITIVE",106.25976,0.002607,-0.002607,132.2417,0.0216,-0.0216,0.209,0.243,-0.209,6.101,0.849,-0.849,354,55.3,-55.3,1.5,0.1,-0.16,303,1.99,0.53,-0.58,7.7,4827,129,-144,4.508,0.084,-0.07,0.823,0.056,-0.086,291.18497,40.311211,15.141
"8355","FALSE POSITIVE",3.64049242,2.123e-05,-2.123e-05,134.96786,0.00506,-0.00506,0.181,0.29,-0.181,1.194,0.176,-0.176,42.1,5.8,-5.8,0.61,0.09,-0.03,1136,393.32,158.33,-60.03,9.5,5745,78,-86,4.503,0.03,-0.12,0.936,0.143,-0.048,300.42432,44.343601,12.646
"8360","FALSE POSITIVE",4.29251656,5.314e-05,-5.314e-05,134.4818,0.0115,-0.0115,1.007,7.214,-0.545,4.254,0.459,-0.459,249.5,27.5,-27.5,3.66,1.13,-0.37,1144,403.88,378.26,-125.96,11,6032,189,-232,4.485,0.052,-0.208,0.973,0.3,-0.1,297.9487,45.255039,15.85
"8361","FALSE POSITIVE",1.400903699,8.365e-06,-8.365e-06,131.84562,0.00528,-0.00528,0.196,0.267,-0.196,0.883,0.173,-0.173,136.5,19.2,-19.2,1.16,0.34,-0.11,1764,2284.73,1999.71,-696.16,9.8,6375,177,-244,4.474,0.065,-0.195,0.975,0.289,-0.096,293.7937,41.204491,15.514
"8365","CONFIRMED",5.52507406,5.469e-05,-5.469e-05,135.15435,0.00973,-0.00973,0.152,0.299,-0.152,2.565,0.258,-0.258,61.5,7.3,-7.3,0.8,0.12,-0.08,1028,263.79,101.96,-65.78,9.8,5600,75,-75,4.378,0.11,-0.11,1.037,0.152,-0.114,284.12134,41.633072,13.692
"8366","FALSE POSITIVE",0.694611128,3.741e-06,-3.741e-06,131.93244,0.00414,-0.00414,0.176,0.283,-0.176,1.115,0.152,-0.152,98.8,13.7,-13.7,0.64,0.06,-0.04,1415,945.45,318.96,-218.14,9.3,4612,124,-138,4.646,0.024,-0.052,0.662,0.064,-0.045,286.31052,44.838188,15.7
"8369","FALSE POSITIVE",0.933728196,8.349e-06,-8.349e-06,131.5336,0.0075,-0.0075,0.015,0.449,-0.015,3.441,0.252,-0.252,67.7,5.9,-5.9,0.85,0.28,-0.1,2006,3826.49,3652.33,-1225.97,13.3,6170,171,-214,4.43,0.072,-0.217,1.032,0.334,-0.119,292.16614,47.612251,15.317
"8370","FALSE POSITIVE",10.6982275,0.000155,-0.000155,140.6793,0.0102,-0.0102,0.032,0.426,-0.032,3.198,0.335,-0.335,246,31.9,-31.9,1.73,0.49,-0.21,919,168.88,142.37,-57.45,9.1,6277,174,-239,4.417,0.06,-0.18,1.097,0.313,-0.134,296.02774,47.753551,15.833
"8377","FALSE POSITIVE",3.09383248,2.28e-05,-2.28e-05,132.75691,0.00637,-0.00637,0.356,0.1,-0.356,1.576,0.241,-0.241,373.7,51.3,-51.3,1.32,0.21,-0.09,998,233.91,126.41,-55.14,9.7,5327,190,-169,4.646,0.032,-0.097,0.681,0.107,-0.046,295.92456,38.876968,15.896
"8378","FALSE POSITIVE",7.4751841,0.0002273,-0.0002273,137.1908,0.0298,-0.0298,0.309,0.145,-0.309,5.166,0.532,-0.532,28.1,3.6,-3.6,0.85,0.2,-0.27,1168,439.51,318.13,-252.81,9.2,5616,184,-127,3.98,0.336,-0.144,1.602,0.37,-0.509,296.5477,44.898041,13.075
"8388","FALSE POSITIVE",13.4450174,0.0001261,-0.0001261,137.24788,0.00835,-0.00835,0.531,0.45,-0.318,2.118,0.246,-0.246,196.2,29,-29,1.08,0.1,-0.1,606,31.92,11.17,-8.79,8.3,5003,151,-151,4.553,0.061,-0.05,0.759,0.072,-0.072,290.72195,42.391571,15.256
"8408","FALSE POSITIVE",11.3251153,0.0002504,-0.0002504,137.2423,0.0179,-0.0179,0.352,0.113,-0.352,2.126,0.437,-0.437,297.2,51.7,-51.7,1.26,0.17,-0.12,674,48.78,23.97,-13.49,7,5334,186,-167,4.574,0.063,-0.077,0.727,0.102,-0.068,291.70639,47.908581,15.995
"8411","FALSE POSITIVE",0.687772143,7.9e-08,-7.9e-08,131.8669185,9.49e-05,-9.49e-05,1.166,0.033,-0.042,2.56725,0.00387,-0.00387,40368,40.2,-40.2,46.27,12.01,-8.03,2097,4569.67,3493.56,-1807.95,679.8,5885,159,-177,4.413,0.144,-0.176,0.933,0.242,-0.162,294.88351,41.800461,14.726
"8419","FALSE POSITIVE",0.9951412,1.014e-05,-1.014e-05,131.5268,0.0105,-0.0105,0.998,0.351,-0.02,5.588,0.513,-0.513,101.7,7.3,-7.3,0.22,0.14,-0.01,509,15.69,34.56,-1.02,17.6,3325,117,-25,5.364,0.012,-0.228,0.109,0.073,-0.002,284.2399,41.819042,15.673
"8423","FALSE POSITIVE",377.501257,0.00877,-0.00877,278.8375,0.0164,-0.0164,0.033,0.426,-0.033,11.98,0.595,-0.595,541.4,46,-46,2.16,0.32,-0.1,242,0.81,0.31,-0.11,13.9,5751,78,-78,4.508,0.021,-0.119,0.94,0.138,-0.043,285.6409,47.81105,15.044
"8425","FALSE POSITIVE",0.92623983,1.172e-05,-1.172e-05,131.7203,0.0171,-0.0171,0.058,0.511,-0.058,1.267,0.279,-0.279,411.4,75,-75,1.16,0.12,-0.09,1208,504.34,204.45,-135.05,9.1,4494,161,-161,4.692,0.032,-0.052,0.591,0.062,-0.047,297.20752,47.972099,16.28
"8427","FALSE POSITIVE",5.68325648,3.749e-05,-3.749e-05,134.87698,0.00599,-0.00599,0.844,0.12,-0.62,1.778,0.163,-0.163,44.6,5.3,-5.3,0.97,0.19,-0.29,1257,589.92,354.24,-324.43,10,6072,167,-137,4.133,0.301,-0.129,1.286,0.255,-0.383,294.49487,43.91362,13.093
"8438","FALSE POSITIVE",6.33342309,9.862e-05,-9.862e-05,133.7198,0.0127,-0.0127,1.101,71.04,-2.333,3.46,0.633,-0.633,123.3,22.2,-22.2,7.62,0.69,-0.62,625,36.11,11.53,-9.1,7.5,4352,116,-129,4.671,0.032,-0.042,0.613,0.055,-0.05,284.26859,44.19754,15.073
"8452","FALSE POSITIVE",6.76890076,7.379e-05,-7.379e-05,133.07724,0.00844,-0.00844,0.15,0.305,-0.15,3.616,0.306,-0.306,123.1,13.2,-13.2,1.24,0.34,-0.23,1017,253.3,204.89,-103.87,10.8,5737,154,-171,4.327,0.153,-0.187,1.125,0.31,-0.207,294.40472,39.351681,14.725
